001	-112.887166	38.501483	1683.477  001
002	-112.887055	38.501530	1683.992  002
003	-112.886634	38.501580	1685.678  003
004	-112.886423	38.501289	1686.912  004
005	-112.886366	38.501257	1687.163  005
006	-112.886303	38.501232	1687.464  006
007	-112.886246	38.501212	1687.582  007
008	-112.886155	38.501152	1687.719  008
009	-112.886081	38.501086	1688.071  009
010	-112.886011	38.500871	1688.911  010
011	-112.885885	38.500783	1689.579  011
012	-112.885843	38.500690	1689.929  012
013	-112.885824	38.500579	1690.179  013
014	-112.885831	38.500461	1690.554  014
015	-112.885841	38.500359	1690.543  015
016	-112.885874	38.500258	1690.727  016
017	-112.885914	38.500157	1690.747  017
018	-112.885957	38.500057	1690.470  018
019	-112.886030	38.499966	1690.209  019
020	-112.886143	38.499912	1690.021  020
021	-112.886259	38.499864	1689.748  021
022	-112.886380	38.499825	1689.292  022
023	-112.886544	38.499790	1688.402  023
024	-112.886676	38.499751	1687.693  024
025	-112.886832	38.499721	1686.964  025
026	-112.886971	38.499691	1686.521  026
027	-112.887118	38.499697	1685.977  027
028	-112.887275	38.499719	1685.145  028
029	-112.887427	38.499744	1684.575  029
030	-112.887568	38.499803	1683.853  030
031	-112.887688	38.499878	1683.275  031
032	-112.887807	38.499944	1682.846  032
033	-112.887923	38.500013	1682.498  033
034	-112.888064	38.500051	1682.138  034
035	-112.888198	38.500102	1681.421  035
036	-112.888190	38.500216	1681.153  036
037	-112.888193	38.500342	1681.203  037
038	-112.888191	38.500461	1680.893  038
039	-112.888191	38.500577	1680.747  039
040	-112.888191	38.500703	1680.518  040
041	-112.888196	38.500840	1680.174  041
042	-112.888103	38.500947	1680.010  042
043	-112.888000	38.501018	1680.063  043
044	-112.887877	38.501094	1680.556  044
045	-112.887757	38.501193	1681.613  045
046	-112.887655	38.501254	1682.077  046
047	-112.887552	38.501320	1682.120  047
048	-112.887415	38.501374	1682.560  048
049	-112.887363	38.501388	1682.733  049
051	-112.887017	38.502567	1662.000  051
052	-112.886450	38.502567	1662.000  052
053	-112.885933	38.502417	1663.000  053
054	-112.885470	38.502250	1675.000  054
055	-112.885130	38.502000	1676.000  055
056	-112.884800	38.501140	1679.000  056
057	-112.884540	38.501240	1685.000  057
058	-112.884270	38.500850	1685.000  058
059	-112.884430	38.500400	1694.000  059
060	-112.884480	38.500105	1695.000  060
061	-112.884420	38.499460	1700.000  061
062	-112.884674	38.499306	1700.000  062
063	-112.884961	38.498674	1701.000  063
064	-112.885450	38.498370	1699.000  064
065	-112.886046	38.498073	1698.000  065
066	-112.887150	38.498050	1692.000  066
067	-112.887660	38.498100	1689.000  067
068	-112.888310	38.498440	1688.000  068
069	-112.888614	38.499145	1685.000  069
070	-112.888881	38.499550	1683.000  070
071	-112.889096	38.499938	1681.000  071
072	-112.889190	38.500296	1681.000  072
073	-112.889190	38.500530	1681.000  073
074	-112.889160	38.500970	1680.000  074
075	-112.889350	38.501360	1679.000  075
076	-112.889020	38.501630	1680.000  076
077	-112.888430	38.501860	1682.000  077
078	-112.888450	38.502250	1669.000  078
079	-112.887900	38.502450	1668.000  079
080	-112.887550	38.502550	1664.000  080
081	-112.887167	38.505083	1668.000  081
082	-112.885967	38.505033	1662.000  082
083	-112.884667	38.504750	1655.000  083
084	-112.883683	38.504300	1659.000  084
085	-112.882850	38.503683	1670.000  085
086	-112.882033	38.502850	1683.000  086
087	-112.881567	38.502017	1683.000  087
088	-112.881300	38.501150	1703.000  088
089	-112.881233	38.500267	1700.000  089
090	-112.881550	38.499200	1704.000  090
091	-112.882017	38.498400	1704.000  091
092	-112.882683	38.497650	1701.000  092
093	-112.883683	38.496950	1697.000  093
094	-112.884683	38.496500	1692.000  094
095	-112.885783	38.496183	1687.000  095
096	-112.887117	38.496133	1681.000  096
097	-112.888250	38.496200	1679.000  097
098	-112.889317	38.496483	1675.000  098
099	-112.890333	38.496900	1670.000  099
100	-112.891333	38.497667	1666.000  100
101	-112.892017	38.498383	1662.000  101
102	-112.892433	38.499200	1659.000  102
103	-112.892733	38.500233	1657.000  103
104	-112.892683	38.501133	1656.000  104
105	-112.892450	38.502000	1655.000  105
106	-112.891867	38.502983	1656.000  106
107	-112.891233	38.503667	1646.000  107
108	-112.890300	38.504267	1637.000  108
109	-112.889333	38.504733	1645.000  109
110	-112.888067	38.505050	1667.000  110
111	-112.887330	38.510570	1678.000  111
112	-112.884480	38.510390	1683.000  112
113	-112.881930	38.509800	1699.000  113
114	-112.879810	38.508800	1708.000  114
115	-112.877670	38.507430	1721.000  115
116	-112.876067	38.505850	1710.000  116
117	-112.874883	38.503900	1690.000  117
118	-112.874300	38.501817	1735.000  118
119	-112.874200	38.499950	1738.000  119
120	-112.874650	38.497817	1737.000  120
121	-112.875717	38.495817	1733.000  121
122	-112.877250	38.494050	1727.000  122
123	-112.879250	38.492583	1719.000  123
124	-112.881300	38.491583	1710.000  124
125	-112.883790	38.490760	1713.000  125
126	-112.886540	38.490690	1705.000  126
127	-112.889310	38.490710	1695.000  127
128	-112.891880	38.491300	1684.000  128
129	-112.893970	38.492040	1679.000  129
130	-112.896140	38.493520	1658.000  130
131	-112.897910	38.495240	1649.000  131
132	-112.899060	38.497150	1643.000  132
133	-112.899730	38.499250	1639.000  133
134	-112.899770	38.501060	1633.000  134
135	-112.899430	38.503250	1636.000  135
136	-112.898383	38.505250	1627.000  136
137	-112.896850	38.507033	1613.000  137
138	-112.894900	38.508533	1633.000  138
139	-112.892840	38.509580	1652.000  139
140	-112.890240	38.510220	1656.000  140
141	-112.887340	38.523160	1644.000  141
142	-112.870690	38.518960	1713.000  142
143	-112.859600	38.508670	1794.000  143
144	-112.859510	38.494060	1827.000  144
145	-112.869310	38.482720	1780.000  145
146	-112.886050	38.478300	1710.000  146
147	-112.902900	38.481990	1652.000  147
148	-112.913750	38.492610	1604.000  148
149	-112.914720	38.506530	1586.000  149
150	-112.904960	38.518050	1594.000  150
151	-112.883583	38.500400	1695.000  151
996	-112.887970	38.500650	1684.646  996
